Date,Order Number,Currency,Sub-total,Shipping,Tax,Total,Earning,Status,Coupon Code,Products
08-Aug-2024,195919,USD,899,0,85.41,984.41,71.92,approved,,"xTool D1 Pro 2.0 Desktop Laser Engraver Cutting Machine - 20W / D1 Pro 20W + Enclosure / Grey, FREE xTool Fire Safety Set: Auto Fire Detection, Fire Extinguishing - US Plug (110V), D1 Pro Enclosure - Enclosure / US Plug (110V)"
07-Aug-2024,195693,USD,4949,0,425.61,5374.61,296.94,approved,NEW100OFF,"xTool F1 Ultra 20W Fiber & Diode Dual Laser Engraver - xTool F1 Ultra Deluxe Bundle, [Tracking Number] F1 Accessory - [Tracking Number]  xTool F1 Ultra Conveyor, [Free Gift] Back to School Excluisve Material Gift - F1 Ultra School Gift / [Tracking Number] Glossy Black Aluminum Business Cards (300pcs), [Tracking Number] Accessory - [Tracking Number] xTool RA2 Pro, [Free Gift] Back to School Excluisve Material Gift - F1 Ultra School Gift / [Tracking Number] 1/8"" Walnut MDF Board (10pcs), [Tracking Number] Accessory - [Tracking Number] xTool Smoke Purifier-US Plug (110V), [Free Gift] Back to School Excluisve Material Gift - F1 Ultra School Gift / [Tracking Number] 14K Gold Plated Oval Pattern Pendant, Free Gift-xTool Selected 20% Material Discount Card"
31-Jul-2024,194154,USD,2449.99,0,147.00,2596.99,146.9994,approved,NEW100OFF,"xTool S1-Enclosed Diode Laser Cutter - xTool S1 40W / Black / xTool S1 40W Deluxe Bundle, < Newbie Exclusive: FREE Material Pack with Machine Order"
25-Jul-2024,192791,USD,369,0,30.44,399.44,22.14,approved,,[Refurbished] xTool D1 Pro Laser Engraver Cutting Machine - Refurbished D1 Pro 10W + Enclosure
18-Jul-2024,191158,USD,2.99,10,0.92,13.91,0.1794,approved,DIY10,"1/8"" Plywood Sheets (6pcs) - Basswood"
16-Jul-2024,190200,USD,2299.99,0,178.25,2478.24,137.9994,approved,XT100,"xTool S1 Enclosed Diode Laser Cutter - xTool S1 40W / Black / xTool S1 40W Deluxe Bundle, Free FREE Safety Care Offer: xTool S1 Fire Safety Set - US Plug (110V)"
12-Jul-2024,189431,USD,1487.99,0,119.05,1607.04,114.4842,approved,xToolBrandon,"xTool D1 Pro 2.0 Desktop Laser Engraver Cutting Machine - D1 Pro 20W All-in-one Kit / Red, xTool D1 Pro/D1 Extension Kit - Grey / US Plug (110V) / Extension Kit, xTool Screen Printer: 1st Screen Printing Solution with Laser - Basic Kit / I had one! Don't need a laser machine"
11-Jul-2024,189015,USD,2498.99,0,181.17,2680.16,149.9394,approved,NEW100OFF,"< xTool DIY Clock Kit (materials package) (100% off), xTool S1 Enclosed Diode Laser Cutter - xTool S1 20W / Pure White / xTool S1 20W All-in-One Color Bundle, Free FREE Safety Care Offer: xTool S1 Fire Safety Set - US Plug (110V), [Tracking Number] S1 Accessory - [Tracking Number] S1 Riser Base-white, FREE xTool Screen Printer - Basic Kit / I had one! Don't need a laser machine / US Plug (110V), [Tracking Number] Accessory - [Tracking Number] xTool RA2 Pro, [Tracking Number] S1 Accessory - [Tracking Number] S1 Automatic Conveyor Feeder Basic, [Tracking Number] Accessory - [Tracking Number] xTool Smoke Purifier-US Plug (110V)"
10-Jul-2024,188834,USD,1519.99,0,125.40,1645.39,91.1994,approved,NEW80OFF,"[Final Payment] xTool M1 Ultra The World's First 4-in-1 Craft Machine - 10W / xTool 10W deluxe bundle, [Tracking Number] M1 Ultra Accesories - [Tracking Number]xTool M1 Ultra Ink Module, FREE M1 Ultra Starter Material kit, [Live Gift] FREE xToolCare for xTool M1 Ultra - for xTool M1 Ultra 10W, FREE Inkjet limit block, [Tracking Number] S1 Accessory - [Tracking Number] Smart Air Assist, Free Gift-xTool Selected 20% Material Discount Card"
08-Jul-2024,188232,USD,2119.99,0,190.80,2310.79,127.1994,approved,NEW80,"< xTool DIY Clock Kit (materials package) (100% off), xTool S1: Enclosed Diode Laser Cutter - xTool S1 40W / Black / xTool S1 40W Rotary Bundle"
